HS - Class A,Austin HS,0,L,Rochester Century HS,2,W,2015-12-12,Boys,HS,A
HS - Class A,Austin HS,2,L,Mankato East HS,8,W,2015-12-15,Boys,HS,A
HS - Class A,Austin HS,8,W,Bagley HS,1,L,2015-12-19,Boys,HS,A
HS - Class A,Austin HS,6,W,Windom HS,1,L,2015-12-30,Boys,HS,A
HS - Class A,Austin HS,11,W,Winona HS,2,L,2016-01-14,Boys,HS,A
HS - Class A,Austin HS,4,W,Faribault HS,3,L,2016-01-16,Boys,HS,A
HS - Class A,Austin HS,6,W,Winona HS,0,L,2016-01-19,Boys,HS,A
HS - Class A,Austin HS,3,L,Rochester Mayo HS,6,W,2016-01-21,Boys,HS,A
HS - Class A,Austin HS,0,L,Northfield HS,4,W,2016-01-23,Boys,HS,A
HS - Class A,Austin HS,3,L,Rochester John Marshall HS,8,W,2016-01-28,Boys,HS,A
HS - Class A,Austin HS,2,LOT,Red Wing HS,3,WOT,2016-01-30,Boys,HS,A
HS - Class A,Austin HS,3,L,Rochester Century HS,4,W,2016-02-04,Boys,HS,A
HS - Class A,Austin HS,5,W,Windom HS,1,L,2016-02-05,Boys,HS,A
HS - Class A,Austin HS,2,L,Mankato East HS,4,W,2016-02-09,Boys,HS,A
HS - Class A,Austin HS,2,L,La Crescent HS,4,W,2016-02-16,Boys,HS,A
HS - Class A,Bagley HS,3,L,Wadena-Deer Creek HS,4,W,2015-11-24,Boys,HS,A
HS - Class A,Bagley HS,1,L,Red Lake Falls HS,9,W,2015-12-01,Boys,HS,A
HS - Class A,Bagley HS,2,WOT,Kittson Central HS,1,LOT,2015-12-03,Boys,HS,A
HS - Class A,Bagley HS,2,L,Breckenridge HS,3,W,2015-12-05,Boys,HS,A
HS - Class A,Bagley HS,0,L,Lake of the Woods HS,7,W,2015-12-08,Boys,HS,A
HS - Class A,Bagley HS,1,L,Prairie Centre HS,5,W,2015-12-12,Boys,HS,A
HS - Class A,Bagley HS,4,L,Dodge County HS,7,W,2015-12-18,Boys,HS,A
HS - Class A,Bagley HS,2,L,Prairie Centre HS,6,W,2015-12-29,Boys,HS,A
HS - Class A,Bagley HS,6,W,Morris/Benson HS,3,L,2015-12-30,Boys,HS,A
HS - Class A,Bagley HS,4,L,Ely HS,5,W,2016-01-02,Boys,HS,A
HS - Class A,Bagley HS,2,L,Wadena-Deer Creek HS,4,W,2016-01-05,Boys,HS,A
HS - Class A,Bagley HS,0,LOT,Lake of the Woods HS,5,WOT,2016-01-07,Boys,HS,A
HS - Class A,Bagley HS,0,L,Park Rapids HS,6,W,2016-01-12,Boys,HS,A
HS - Class A,Bagley HS,0,L,Pine City HS,7,W,2016-01-16,Boys,HS,A
HS - Class A,Bagley HS,0,L,Red Lake Falls HS,6,W,2016-01-19,Boys,HS,A
HS - Class A,Bagley HS,1,L,Northern Lakes HS,5,W,2016-01-21,Boys,HS,A
HS - Class A,Bagley HS,1,L,Northern Lakes HS,2,W,2016-01-28,Boys,HS,A
HS - Class A,Bagley HS,3,L,Breckenridge HS,4,W,2016-01-30,Boys,HS,A
HS - Class A,Bagley HS,2,L,Ely HS,6,W,2016-02-05,Boys,HS,A
HS - Class A,Bagley HS,1,L,Ely HS,4,W,2016-02-06,Boys,HS,A
HS - Class A,Bagley HS,4,W,Kittson Central HS,2,L,2016-02-09,Boys,HS,A
HS - Class A,Bagley HS,0,L,Northern Lakes HS,4,W,2016-02-16,Boys,HS,A
HS - Class A,Blake HS,2,L,Delano HS,6,W,2015-11-20,Boys,HS,A
HS - Class A,Blake HS,1,L,Thief River Falls HS,3,W,2015-11-27,Boys,HS,A
HS - Class A,Blake HS,5,WOT,Crookston HS,4,LOT,2015-11-28,Boys,HS,A
HS - Class A,Blake HS,4,W,Mound Westonka HS,2,L,2015-12-01,Boys,HS,A
HS - Class A,Blake HS,3,L,Orono HS,4,W,2015-12-10,Boys,HS,A
HS - Class A,Blake HS,3,W,Duluth Marshall HS,1,L,2015-12-12,Boys,HS,A
HS - Class A,Blake HS,2,L,Cretin Durham Hall HS,3,W,2015-12-22,Boys,HS,A
HS - Class A,Blake HS,1,L,Anoka HS,5,W,2015-12-28,Boys,HS,A
HS - Class A,Blake HS,6,W,St Francis HS,0,L,2015-12-29,Boys,HS,A
HS - Class A,Blake HS,1,L,East Ridge HS,2,W,2015-12-30,Boys,HS,A
HS - Class A,Blake HS,2,L,Mahtomedi HS,3,W,2016-01-02,Boys,HS,A
HS - Class A,Blake HS,2,WOT,Chanhassen HS,1,LOT,2016-01-05,Boys,HS,A
HS - Class A,Blake HS,4,W,Bloomington Kennedy HS,0,L,2016-01-07,Boys,HS,A
HS - Class A,Blake HS,3,L,Minnetonka HS,6,W,2016-01-09,Boys,HS,A
HS - Class A,Blake HS,6,W,St Paul Academy,5,L,2016-01-14,Boys,HS,A
HS - Class A,Blake HS,3,W,Duluth Denfeld HS,1,L,2016-01-16,Boys,HS,A
HS - Class A,Blake HS,8,W,Providence Academy,3,L,2016-01-19,Boys,HS,A
HS - Class A,Blake HS,4,W,Minnehaha Academy,2,L,2016-01-21,Boys,HS,A
HS - Class A,Blake HS,1,L,St Cloud Cathedral HS,2,W,2016-01-23,Boys,HS,A
HS - Class A,Blake HS,0,L,Breck HS,5,W,2016-01-26,Boys,HS,A
HS - Class A,Blake HS,5,W,Rochester Lourdes HS,2,L,2016-01-30,Boys,HS,A
HS - Class A,Blake HS,7,W,Providence Academy,0,L,2016-02-04,Boys,HS,A
HS - Class A,Blake HS,7,W,New Prague HS,3,L,2016-02-06,Boys,HS,A
HS - Class A,Blake HS,2,L,St Paul Academy,5,W,2016-02-09,Boys,HS,A
HS - Class A,Blake HS,1,L,Breck HS,9,W,2016-02-13,Boys,HS,A
HS - Class A,Blake HS,1,WOT,New Prague HS,0,LOT,2016-02-18,Boys,HS,A
HS - Class A,Blake HS,0,L,Breck HS,4,W,2016-02-23,Boys,HS,A
HS - Class A,Bloomington Kennedy HS,8,W,Rochester Lourdes HS,3,L,2015-11-21,Boys,HS,A
HS - Class A,Bloomington Kennedy HS,3,L,St Cloud Tech HS,6,W,2015-11-24,Boys,HS,A
HS - Class A,Bloomington Kennedy HS,1,L,Minneapolis HS,3,W,2015-11-28,Boys,HS,A
HS - Class A,Bloomington Kennedy HS,4,W,Northfield HS,2,L,2015-12-01,Boys,HS,A
HS - Class A,Bloomington Kennedy HS,1,L,Delano HS,6,W,2015-12-05,Boys,HS,A
HS - Class A,Bloomington Kennedy HS,4,W,St Paul Academy,3,L,2015-12-10,Boys,HS,A
HS - Class A,Bloomington Kennedy HS,4,W,Waconia HS,2,L,2015-12-12,Boys,HS,A
HS - Class A,Bloomington Kennedy HS,1,L,Orono HS,4,W,2015-12-15,Boys,HS,A
HS - Class A,Bloomington Kennedy HS,2,W,Holy Angels HS,1,L,2015-12-18,Boys,HS,A
HS - Class A,Bloomington Kennedy HS,5,W,Holy Angels HS,3,L,2015-12-19,Boys,HS,A
HS - Class A,Bloomington Kennedy HS,1,L,Mound Westonka HS,4,W,2015-12-22,Boys,HS,A
HS - Class A,Bloomington Kennedy HS,5,W,East Ridge HS,2,L,2015-12-28,Boys,HS,A
HS - Class A,Bloomington Kennedy HS,5,W,Rogers HS,2,L,2015-12-29,Boys,HS,A
HS - Class A,Bloomington Kennedy HS,2,L,Anoka HS,7,W,2015-12-30,Boys,HS,A
HS - Class A,Bloomington Kennedy HS,0,L,Hopkins HS,3,W,2016-01-02,Boys,HS,A
HS - Class A,Bloomington Kennedy HS,2,WOT,St Louis Park HS,1,LOT,2016-01-09,Boys,HS,A
HS - Class A,Bloomington Kennedy HS,3,W,Cambridge-Isanti HS,2,L,2016-01-12,Boys,HS,A
HS - Class A,Bloomington Kennedy HS,3,W,Chaska HS,0,L,2016-01-21,Boys,HS,A
HS - Class A,Bloomington Kennedy HS,1,L,Chanhassen HS,4,W,2016-01-23,Boys,HS,A
HS - Class A,Bloomington Kennedy HS,0,L,Benilde St Margarets HS,12,W,2016-01-28,Boys,HS,A
HS - Class A,Bloomington Kennedy HS,0,L,Bloomington Jefferson HS,5,W,2016-01-30,Boys,HS,A
HS - Class A,Bloomington Kennedy HS,2,L,St Louis Park HS,6,W,2016-02-04,Boys,HS,A
HS - Class A,Bloomington Kennedy HS,2,L,Minneapolis HS,4,W,2016-02-06,Boys,HS,A
HS - Class A,Bloomington Kennedy HS,1,L,Mound Westonka HS,2,W,2016-02-17,Boys,HS,A
HS - Class A,Breckenridge HS,1,L,Northern Lakes HS,7,W,2015-11-20,Boys,HS,A
HS - Class A,Breckenridge HS,1,L,Wadena-Deer Creek HS,5,W,2015-12-01,Boys,HS,A
HS - Class A,Breckenridge HS,1,L,Red Lake Falls HS,2,W,2015-12-04,Boys,HS,A
HS - Class A,Breckenridge HS,7,W,Worthington HS,1,L,2015-12-11,Boys,HS,A
HS - Class A,Breckenridge HS,5,W,Fairmont HS,3,L,2015-12-12,Boys,HS,A
HS - Class A,Breckenridge HS,5,W,Prairie Centre HS,2,L,2015-12-21,Boys,HS,A
HS - Class A,Breckenridge HS,0,L,St Paul Como Park HS,7,W,2015-12-29,Boys,HS,A
HS - Class A,Breckenridge HS,3,L,Bottineau/Rugby HS,4,W,2015-12-30,Boys,HS,A
HS - Class A,Breckenridge HS,2,L,Prairie Centre HS,5,W,2016-01-08,Boys,HS,A
HS - Class A,Breckenridge HS,8,W,Morris/Benson HS,4,L,2016-01-12,Boys,HS,A
HS - Class A,Breckenridge HS,4,L,Kittson Central HS,5,W,2016-01-15,Boys,HS,A
HS - Class A,Breckenridge HS,5,WOT,Wadena-Deer Creek HS,4,LOT,2016-01-19,Boys,HS,A
HS - Class A,Breckenridge HS,3,W,Red Lake Falls HS,2,L,2016-01-22,Boys,HS,A
HS - Class A,Breckenridge HS,10,W,Worthington HS,1,L,2016-01-23,Boys,HS,A
HS - Class A,Breckenridge HS,6,W,Morris/Benson HS,2,L,2016-01-28,Boys,HS,A
HS - Class A,Breck HS,9,W,Delano HS,7,L,2015-11-24,Boys,HS,A
HS - Class A,Breck HS,3,WOT,Holy Family Catholic HS,2,LOT,2015-12-01,Boys,HS,A
HS - Class A,Breck HS,9,W,East Grand Forks HS,1,L,2015-12-04,Boys,HS,A
HS - Class A,Breck HS,4,W,Thief River Falls HS,1,L,2015-12-05,Boys,HS,A
HS - Class A,Breck HS,7,W,Totino Grace HS,4,L,2015-12-08,Boys,HS,A
HS - Class A,Breck HS,1,LOT,Wayzata HS,2,WOT,2015-12-10,Boys,HS,A
HS - Class A,Breck HS,6,W,St Paul Academy,0,L,2015-12-12,Boys,HS,A
HS - Class A,Breck HS,9,W,St Cloud Cathedral HS,1,L,2015-12-17,Boys,HS,A
HS - Class A,Breck HS,6,W,Duluth Marshall HS,1,L,2015-12-19,Boys,HS,A
HS - Class A,Breck HS,9,W,St Michael Albertville HS,1,L,2015-12-22,Boys,HS,A
HS - Class A,Breck HS,7,W,Buffalo HS,1,L,2015-12-28,Boys,HS,A
HS - Class A,Breck HS,2,L,Rosemount HS,3,W,2015-12-29,Boys,HS,A
HS - Class A,Breck HS,1,L,St Michael Albertville HS,6,W,2015-12-30,Boys,HS,A
HS - Class A,Breck HS,3,WOT,St Cloud Apollo HS,2,LOT,2016-01-07,Boys,HS,A
HS - Class A,Breck HS,6,W,Moorhead HS,3,L,2016-01-09,Boys,HS,A
HS - Class A,Breck HS,8,W,Holy Angels HS,0,L,2016-01-14,Boys,HS,A
HS - Class A,Breck HS,5,W,Chanhassen HS,2,L,2016-01-19,Boys,HS,A
HS - Class A,Breck HS,16,W,Providence Academy,1,L,2016-01-21,Boys,HS,A
HS - Class A,Breck HS,4,WOT,St Paul Academy,3,LOT,2016-01-28,Boys,HS,A
HS - Class A,Breck HS,10,W,Minnehaha Academy,1,L,2016-02-03,Boys,HS,A
HS - Class A,Breck HS,6,W,Rochester Lourdes HS,0,L,2016-02-04,Boys,HS,A
HS - Class A,Breck HS,9,W,Providence Academy,2,L,2016-02-06,Boys,HS,A
HS - Class A,Breck HS,4,TOT,Mahtomedi HS,4,TOT,2016-02-09,Boys,HS,A
HS - Class A,Breck HS,12,W,Mound Westonka HS,2,L,2016-02-19,Boys,HS,A
HS - Class A,Breck HS,5,W,Delano HS,3,L,2016-02-25,Boys,HS,A
HS - Class A,Breck HS,8,W,Mankato West HS,0,L,2016-03-02,Boys,HS,A
